Country,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,004,-0.074583333,0.004916667,-0.291333333,0.973416667,-0.975083333,0.041833333,0.283,-0.39675,-0.297666667,-0.254916667,0.723083333,0.7635,-1.512833333,0.1755,-0.74325,-0.511916667,-0.351416667,0.745416667,0.269666667,0.202083333,0.827333333,0.800083333,-0.326916667,0.554833333,0.185833333,0.82875,0.163166667,0.924,1.329,0.06575,0.933333333,0.31075,-0.003916667,0.37925,0.69475,0.799166667,0.366,0.844,1.0725,1.32875,1.437833333,1.718083333,1.477666667,0.856,1.710916667,0.92,1.535583333,1.046166667,1.1565,1.19775,1.768666667,1.458,0.421583333,2.473625
Albania,008,0.545083333,0.52675,0.27875,0.295833333,-0.274666667,-0.411583333,0.414583333,-0.16825,0.079583333,0.012916667,0.049666667,-0.255583333,-0.18175,-0.303333333,-0.230166667,-0.221583333,-0.75375,0.43325,-0.526416667,0.199166667,-0.627916667,-0.211333333,0.22525,-0.279083333,-0.14925,0.158166667,0.266416667,0.206583333,0.254083333,0.013833333,0.678666667,-0.451166667,0.294666667,0.332583333,1.309666667,-0.007916667,-0.0535,0.110916667,0.52125,0.86375,0.956583333,0.900416667,0.769916667,0.836583333,0.468166667,-0.042916667,0.186916667,1.1005,1.165166667,1.05425,0.985416667,0.65325,0.97825,2.203875
Algeria,012,0.404083333,0.290333333,0.082416667,0.217833333,0.0475,-0.12625,0.201333333,-0.238333333,0.085916667,0.35825,0.222833333,-0.42775,-0.401833333,-0.213833333,-0.559,-0.383583333,-0.74325,0.446083333,0.061833333,0.296833333,0.060166667,0.47925,-0.005833333,0.583,-0.036916667,0.42625,0.156666667,1.14775,0.715666667,0.624333333,0.914416667,-0.088916667,-0.333,0.350833333,0.542083333,0.6225,0.634333333,0.855166667,0.820583333,1.199416667,0.93225,1.624416667,1.163,1.293666667,0.816,1.122583333,1.100833333,0.965333333,0.85025,1.054333333,2.115666667,1.044166667,0.854833333,2.0215
American Samoa,016,0.0255,-0.122833333,-0.112333333,0.117666667,-0.144333333,-0.35875,0.082166667,-0.319583333,-0.259166667,0.196583333,0.020666667,-0.33775,0.072333333,0.39825,-0.14875,0.033166667,-0.018916667,0.046833333,-0.056,0.151333333,0.25075,0.0055,0.16275,0.188666667,0.1395,0.209916667,0.240333333,0.15875,0.349416667,0.012666667,0.41625,0.431166667,0.332,0.076416667,0.246333333,0.528666667,0.372666667,0.21575,0.684833333,0.327166667,0.479833333,0.487583333,0.797916667,0.524833333,0.541166667,0.6335,0.34125,0.712416667,0.255083333,0.29425,0.713416667,0.2695,0.461416667,0.77725
Andorra,020,-0.026,1.0215,-0.160666667,-0.603833333,0.301083333,-0.214083333,0.34475,0.366916667,0.1965,-0.355166667,0.136583333,-0.047833333,-0.499,-0.063416667,-0.162666667,0.00775,0.0645,-0.105666667,-0.19925,0.06175,-0.4675,0.306,0.945166667,0.75175,-0.20725,0.085416667,0.3835,0.44025,0.733916667,1.345083333,1.215583333,0.325416667,0.258416667,0.192166667,1.39225,1.136416667,0.501416667,1.656166667,0.87875,0.938666667,1.071916667,0.976083333,1.079583333,1.660666667,0.803,0.403416667,1.594333333,0.91525,0.738583333,1.326666667,0.240833333,1.754416667,1.099916667,1.067875
Angola,024,0.037083333,0.04875,-0.041333333,-0.05225,-0.203583333,-0.070083333,0.21325,-0.113583333,-0.141833333,0.3005,0.259833333,-0.053,0.121,0.459666667,-0.2665,-0.151083333,-0.442583333,0.06075,-0.073,0.25475,0.187583333,0.137916667,-0.07,0.47725,0.466166667,0.131833333,0.14625,0.859916667,0.522333333,0.232166667,0.576416667,0.205416667,0.608583333,0.401,0.299416667,1.046166667,0.58925,0.427166667,1.230166667,0.492083333,0.470666667,0.612916667,1.0355,1.176583333,0.682833333,1.076083333,0.057083333,0.537083333,0.397333333,0.4265,0.7915,0.139666667,0.233333333,0.617875
Anguilla,660,0.310166667,0.105833333,0.016916667,0.219333333,0.052416667,-0.273,-0.138333333,-0.346,-0.221416667,0.21925,0.086166667,-0.276583333,-0.15925,0.182333333,-0.338166667,-0.34025,-0.3755,0.218333333,0.210583333,-0.023666667,0.422083333,0.35325,0.001166667,0.433666667,0.029333333,0.012,0.054416667,0.549583333,0.307916667,0.016583333,0.26875,0.267333333,0.220333333,0.333416667,0.33925,0.720333333,0.226833333,0.563583333,0.910833333,0.514583333,0.22275,0.5785,0.70825,0.847416667,0.504,0.902333333,0.80625,0.855083333,0.310416667,0.638583333,1.026,0.698333333,0.80925,0.533
Antigua And Barbuda,028,0.302583333,0.070916667,0.07675,0.231166667,0.049083333,-0.238333333,-0.068333333,-0.317333333,-0.243083333,0.221916667,0.078583333,-0.268583333,-0.11,0.21325,-0.32,-0.324583333,-0.392333333,0.191916667,0.2015,-0.004333333,0.458416667,0.397666667,0.021,0.41925,-0.04125,-0.041833333,0.04925,0.560583333,0.293,0.0265,0.274666667,0.235666667,0.23475,0.296166667,0.286083333,0.720333333,0.282333333,0.629333333,0.94175,0.47175,0.232083333,0.593833333,0.70175,0.853833333,0.491166667,0.938166667,0.806416667,0.849083333,0.305416667,0.617333333,1.075416667,0.636166667,0.7735,0.589625
Argentina,032,0.173666667,0.152916667,0.032416667,0.027166667,-0.38875,0.089583333,-0.142,0.22975,0.376916667,0.442833333,0.375333333,-0.168833333,-0.001583333,-0.222083333,-0.182333333,0.119666667,-0.37975,0.53125,0.366083333,0.154666667,0.406916667,0.347416667,0.43675,0.134333333,-0.419166667,0.50625,0.51475,0.3675,0.016333333,0.723,0.335083333,0.277583333,-0.080833333,0.278666667,0.758666667,0.329833333,0.391583333,0.800666667,0.44175,0.244916667,-0.0695,0.550416667,0.36375,0.698333333,0.622166667,0.292833333,0.741083333,-0.191916667,0.656,0.714416667,0.258833333,0.519666667,0.869,-0.362875
Armenia,051,0.36325,0.572,1.072083333,0.363,-0.852333333,-0.413916667,1.931,-0.822916667,-0.003416667,-0.679166667,0.936583333,0.195416667,-1.120833333,-0.702833333,-0.595666667,0.083,-0.564916667,-0.217916667,0.137666667,1.236416667,0.448583333,0.895416667,-0.635666667,0.090583333,0.15775,0.26475,0.396833333,0.086666667,-0.283916667,0.875833333,0.348083333,0.462583333,-1.295333333,-1.140333333,0.11125,0.982166667,0.909166667,0.336333333,1.538416667,1.421,1.008166667,1.533416667,0.695,0.513083333,0.810166667,0.825416667,1.1435,0.62525,0.79675,0.932083333,2.5995,0.226,1.44075,2.43375
Aruba,533,0.053583333,-0.127166667,0.086,0.11725,-0.123583333,-0.15325,0.041166667,-0.24525,-0.085666667,0.431,0.169333333,-0.31,0.152333333,0.131833333,-0.49975,-0.25675,-0.389916667,0.254416667,0.191583333,0.232333333,0.426916667,0.24825,0.0465,0.487,-0.001833333,-0.314333333,-0.210666667,0.659416667,0.149916667,-0.065416667,0.043333333,0.143083333,0.29875,0.389166667,0.28225,0.536416667,0.279583333,0.563333333,0.7825,-0.002083333,-0.072,0.430916667,0.64925,0.649666667,0.306,0.57225,0.604666667,0.622833333,0.25025,0.632,0.768333333,0.313333333,0.452333333,0.34125
Australia,036,-0.5095,0.24425,0.082916667,-0.022166667,-0.06925,0.372083333,-0.359,-0.094583333,-0.257833333,0.127583333,0.05575,-0.065666667,0.292083333,0.69275,-0.481916667,-0.027333333,-0.526583333,0.1725,-0.114833333,0.532333333,0.866166667,0.444083333,0.1905,0.541083333,-0.203083333,0.323416667,0.37325,0.352416667,0.910083333,0.142833333,0.63575,0.767416667,0.212583333,0.440166667,0.31025,0.235166667,0.605333333,0.366,0.944833333,0.3445,-0.010333333,0.07275,0.740833333,0.720333333,0.566916667,1.176833333,0.544416667,0.76675,0.505916667,0.970583333,0.358166667,0.047,0.3045,0.422875
Austria,040,0.207083333,0.865583333,-0.879,-0.669083333,-0.116666667,-0.682916667,0.553416667,0.518166667,0.05925,-0.319666667,-0.385166667,0.129333333,-0.070166667,-0.1065,0.571416667,0.578,0.096083333,0.596,-0.533166667,0.084,-0.686416667,0.183583333,0.598583333,0.867083333,-0.258166667,-0.397,-0.003083333,-0.1505,0.762166667,1.052416667,1.024,0.037916667,1.295583333,0.538666667,1.844916667,0.5265,-0.45675,0.705083333,0.90275,0.91425,1.764916667,0.868916667,1.59525,1.189333333,0.586083333,0.2895,0.957583333,1.6565,1.481916667,1.296,0.329083333,1.535583333,1.291333333,1.735125
Azerbaijan,031,0.198,0.752,0.959666667,0.247666667,-0.7375,-0.336916667,1.662833333,-0.530333333,0.155916667,-1.0835,0.72075,0.448583333,-0.900916667,-0.46275,-0.459083333,0.469833333,-0.598,-0.21225,-0.0395,0.94875,0.261,0.850666667,-0.605166667,0.315333333,-0.193916667,0.071083333,0.33225,-0.02025,0.05025,0.905083333,0.452,0.416,-0.818666667,-1.013916667,-0.067083333,1.191583333,0.66225,0.354416667,1.41875,1.31175,1.092,1.55725,0.89225,0.44475,1.0795,1.14725,1.17225,0.974833333,0.8255,1.071666667,2.422666667,0.268666667,1.54675,2.633875
Bahamas,044,-0.10275,0.11375,-0.180416667,-0.118666667,0.184166667,-0.0835,-0.319416667,0.050416667,-0.385,-0.057416667,-0.231333333,-0.003666667,0.32725,0.077916667,0.107583333,0.44325,-0.110666667,0.07,0.2145,0.211083333,0.23825,-0.1135,0.600333333,0.257583333,0.046583333,0.2035,0.395333333,0.330916667,0.101833333,0.381666667,0.722333333,0.65675,0.1955,0.279833333,0.7545,0.498666667,0.115416667,0.920833333,0.9595,0.352666667,0.179166667,0.310666667,0.84625,0.910333333,0.57975,0.531666667,0.44575,0.76475,0.62975,0.499166667,-0.040833333,0.73325,0.546416667,0.741666667
Bahrain,048,0.1965,-0.3525,0.422166667,0.1615,-0.638916667,0.224166667,0.5295,-0.592166667,-0.148083333,0.515916667,0.264583333,-0.278833333,-0.659416667,-0.068833333,-0.14825,-0.232166667,-0.355166667,0.480666667,0.199583333,0.738083333,0.487333333,0.512333333,-0.553166667,-0.478833333,-0.108583333,0.132166667,0.255583333,0.57175,0.558,-0.0475,0.274583333,-0.258083333,-0.892333333,0.095916667,0.66375,0.187416667,0.7575,0.120916667,1.542416667,1.672416667,1.00075,1.361,1.196416667,1.300666667,1.08025,0.913166667,1.15125,1.146083333,0.963083333,1.240333333,1.999666667,1.033833333,1.459333333,1.855375
Bangladesh,050,0.29425,-0.12025,-0.157083333,-0.084416667,0.114583333,-0.1515,0.294333333,-0.197583333,-0.2495,0.064333333,-0.003416667,-0.554833333,-0.046166667,0.075583333,-0.1505,-0.046083333,0.012166667,-0.143416667,-0.151,0.521083333,0.150666667,-0.238166667,-0.045916667,-0.120166667,-0.124583333,0.231416667,0.10425,0.452416667,0.519666667,0.11475,0.09175,-0.054833333,-0.06775,-0.186833333,0.071666667,0.225833333,0.25025,-0.33075,0.334166667,0.524833333,-0.039833333,0.147,0.190333333,0.090833333,0.196333333,0.342,0.575666667,0.15375,0.1995,0.714916667,0.750333333,0.015083333,0.343583333,0.7775
Barbados,052,0.206416667,0.089,0.129,0.241416667,-0.046666667,-0.08325,0.009,-0.23825,-0.218083333,0.387416667,0.049916667,-0.275083333,-0.0275,0.07325,-0.255,-0.34675,-0.432666667,0.037333333,0.198833333,0.124166667,0.42725,0.39225,0.0955,0.263333333,-0.094583333,-0.167416667,-0.060416667,0.615166667,0.293916667,0.032166667,0.223166667,0.173166667,0.184666667,0.336833333,0.240083333,0.606,0.29825,0.519333333,0.905083333,0.420833333,0.182083333,0.501833333,0.546083333,0.720083333,0.505416667,0.957166667,0.78225,0.646416667,0.283833333,0.600333333,1.124666667,0.67525,0.626666667,0.531125
