Month,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jan,15.414,14.861875,14.9096875,15.17673333,14.9424375,14.47326667,14.72486667,14.889625,14.9698,15.09047368,14.95480645,14.7826129,14.36380645,14.64267742,14.89606452,14.72977419,14.5863871,14.18087097,14.41748387,14.72051613,14.3593871,14.22035484,14.2026129,14.2726129,14.39083871,14.02641935,13.66145161,13.46558065,13.70303226,13.88725806,13.91370968,13.73906452,13.46396774,13.72941935,13.70264516,13.64748387,13.60232258,13.47251613
Feb,16.17528571,15.95514286,15.60407143,15.9735,16.00614286,15.29893333,15.46571429,15.78485714,16.05014286,15.58337931,15.49553571,15.57821429,15.24939286,15.46210345,15.68564286,15.56189286,15.22567857,15.15482759,15.43671429,15.74582143,15.30892857,15.14148276,15.21114286,15.34235714,15.19314286,14.91437931,14.37285714,14.32496429,14.51325,14.95344828,14.81153571,14.58142857,14.36303571,14.55334483,14.72353571,14.41757143,14.40064286,14.21034483
Mar,16.3419375,16.0413125,15.63153333,16.043875,16.08526667,15.5842,15.8859375,15.90946667,15.8159375,15.95722581,15.42329032,15.86674194,15.41612903,15.48112903,15.81316129,15.5536129,15.26016129,15.12280645,15.46751613,15.59809677,15.39767742,15.22483871,15.51632258,15.34890323,15.48490323,14.99258065,14.6866129,14.42096774,14.54209677,15.17890323,14.9836129,15.13670968,14.54651613,15.19625806,15.03203226,14.75751613,14.37051613,14.40487097
Apr,15.4468,15.42906667,15.00993333,15.466,15.17206667,15.01446667,15.35653333,15.0588,15.21086667,15.12333333,14.3284,14.65006667,14.85973333,14.6769,15.0772,14.88803333,14.4486,14.21586667,14.56303333,14.89193333,15.0839,14.55816667,14.85683333,14.29943333,14.51206667,13.98733333,14.08983333,13.90586667,13.8452,14.35193333,14.49563333,14.65873333,14.1078,14.62576667,14.29873333,14.08786667,13.89316667,13.69396667
May,13.85686667,13.7926,13.801625,13.9732,13.4913125,13.5766875,14.0734,13.3795625,13.74293333,13.56087097,13.04412903,13.22583871,13.47312903,13.21554839,13.36822581,13.6243871,12.97206452,13.09454839,13.17716129,13.58983871,13.75096774,13.15267742,13.5096129,12.9706129,13.01606452,12.55841935,12.91109677,12.51735484,12.77967742,12.974,13.18670968,12.86609677,12.68077419,13.01180645,12.99725806,12.70070968,12.46809677,11.89987097
Jun,12.53,12.2046,12.42973333,12.47606667,12.29566667,12.15166667,12.21906667,11.97593333,12.48566667,11.94343333,12.24453333,11.64056667,12.10803333,12.14676667,11.8709,12.0164,11.44043333,12.08383333,11.73836667,11.7057,11.77916667,11.66523333,11.45593333,11.5834,11.60403333,11.44706667,11.16203333,10.9195,11.22006667,11.20833333,11.32026667,10.5851,10.74866667,10.67453333,11.36013333,11.0326,10.8789,10.35256667
Jul,10.31125,10.1000625,10.271,10.3670625,10.57026667,9.977533333,9.7445625,10.14646667,10.3325625,9.808677419,10.12970968,9.246612903,9.514032258,10.32312903,9.476354839,9.92516129,8.987096774,10.16425806,9.41083871,9.41516129,9.488290323,9.513,9.070354839,9.27416129,9.214774194,9.431354839,8.648741935,8.45983871,7.94283871,8.677935484,8.465451613,8.074677419,7.724387097,7.671774194,8.131677419,8.108451613,8.377870968,7.893903226
Aug,8.041066667,7.984266667,7.8443125,8.139533333,8.185875,7.7710625,7.401866667,7.9795625,7.499904762,7.891580645,7.881774194,6.797483871,7.415354839,7.925258065,7.335,7.639290323,6.744354839,8.180451613,7.285032258,7.508870968,7.225580645,7.168322581,7.460806452,6.599,6.935870968,6.85483871,6.301129032,6.495612903,5.342322581,5.913064516,6.135741935,5.874903226,5.502451613,4.723290323,6.013516129,6.077870968,5.598741935,5.387774194
Sep,7.051133333,7.667066667,7.138466667,7.301733333,7.3946,6.8052,6.697666667,7.410666667,7.2787,7.369,7.008333333,6.1428,6.4729,7.4737,6.396666667,7.1376,6.080133333,7.582533333,6.686333333,6.536033333,6.116866667,6.246066667,6.732166667,5.827133333,6.1161,5.9845,5.503766667,5.862433333,4.267266667,4.687433333,5.261633333,4.865066667,4.561333333,3.5656,5.208266667,5.219933333,4.615766667,4.505066667
Oct,8.7479375,9.18275,8.856266667,9.4210625,9.334066667,8.5606,8.5459375,9.483933333,9.048774194,9.135032258,8.828903226,8.484935484,8.541419355,9.319516129,8.786129032,8.915290323,7.828935484,9.160967742,8.336548387,8.451870968,8.602806452,8.379419355,8.298290323,8.161903226,7.848290323,7.925290323,7.351967742,7.541096774,6.039709677,7.349870968,6.920322581,6.983903226,6.464548387,5.885870968,7.45483871,7.232451613,6.966225806,6.036967742
