Month,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jan,81.033,72.992,70.59,78.901,76.328,71.68,66.831,86.756,76.89,72.526,146.841,150.889,165.486,147.215,136.691,153.937,174.716,182.005,130.115,138.412,149.292,147.215,162.226,146.928,178.954,173.306,147.307,129.07,144.85,198.825,176.928,153.701,139.863,175.27,171.842,196.131,212.408,145.088
Feb,43.975,39.457,40.229,43.799,42.984,40.159,39.71,44.704,45.552,83.685,83.373,85.013,88.511,82.284,69.501,89.531,99.702,86.553,69.707,83.708,83.048,84.289,102.21,82.891,106.08,103.923,83.149,74.239,81.329,112.941,83.736,86.954,70.534,103.044,107.42,107.604,106.37,80.592
Mar,63.989,52.718,50.873,68.605,60.235,54.185,59.475,55.476,65.804,122.952,121.746,122.945,118.012,110.772,113.714,141.03,143.419,129.688,107.179,127.332,123.311,126.662,146.675,116.196,137.775,140.312,126.53,99.653,118.879,163.818,137.673,119.249,104.403,141.058,155.539,151.947,153.892,126.26
Apr,112.283,81.075,87.577,115.844,97.056,96.33,97.398,95.783,101.954,188.622,189.188,209.996,211.604,203.823,199.548,216.647,218.029,218.398,194.77,205.615,206.754,213.969,211.328,189.835,216.248,218.393,210.959,180.312,192.548,247.269,233.955,201.463,182.898,219.277,228.679,250.29,251.196,216.264
May,162.4,132.85,149.674,161.375,152.416,155.975,152.292,148.73,145.411,297.671,319.212,301.179,318.663,307.668,313.217,322.648,322.88,338.419,313.843,320.182,318.225,338.538,320.227,294.858,332.81,324.571,318.953,293.144,299.082,342.53,338.698,329.817,312.875,324.167,338.512,357.1,363.2,312.681
Jun,212.805,187.354,196.628,201.251,189.639,198.457,201.428,190.305,190.265,392.784,407.413,392.487,391.97,384.255,394.415,406.804,398.696,416.111,393.481,399.397,409.465,416.781,402.542,371.273,419.561,413.4,398.745,400.343,398.619,421.85,417.224,432.306,399.999,406.4,424.645,440.6,434.247,396.237
Jul,264.27,249.031,240.581,253.955,232,245.923,251.535,229.752,252.025,488.209,487.028,482.699,482.063,492.727,491.501,505.175,488.06,499.71,493.541,494.843,504.73,499.03,491.408,477.856,508.461,506.308,500.893,499.538,494.629,498.94,504.101,524.561,488.329,505.238,521.065,530.278,520.032,495.191
Aug,265.474,267.084,283.784,266.838,276.013,286.843,264.483,271.981,370.89,544.391,541.435,544.591,549.288,549.538,542.245,553.027,551.186,549.983,548.215,554.322,556.695,564.39,540.105,529.067,545.057,558.312,555.597,561.027,548.139,546.98,561.032,576.819,551.969,561.006,578.577,586.147,550.23,552.161
Sep,272.933,282.259,278.947,275.302,278.778,272.572,280.548,265.247,547.382,549.216,543.632,545.79,549.378,544.416,556.296,558.379,551.182,558.948,557.893,567.105,560.891,566.635,545.249,536.621,548.949,567.577,564.144,572.823,565.819,544.351,568.814,563.958,562.177,576.235,581.66,592.692,553.32,542.247
Oct,285.128,297.086,274.406,284.614,268.73,263.589,291.271,257.756,547.897,569.192,553.539,556.305,555.436,555.953,561.954,560.792,558.919,556.901,557.795,578.474,568.917,562.046,549.506,553.839,564.138,572.165,572.781,580.711,573.74,557.811,567.245,578.098,564.773,576.41,589.551,589.087,570.687,539.029
Nov,230.056,241.997,241.67,233.049,240.213,242.01,242.103,225.099,467.523,484.43,472.003,464.049,467.506,476.865,481.262,476.413,469.018,471.537,471.983,489.012,478.938,472.729,468.309,462.175,483.286,482.545,489.485,486.895,476.764,487.444,475.435,502.647,472.721,483.298,506.165,491.633,485.253,423.594
Dec,138.537,152.338,174.317,138.235,166.302,167.568,170.283,154.463,26.758,342.879,304.963,308.559,315.962,316.378,307.934,313.116,329.279,299.248,318.847,326.104,332.383,307.201,320.723,334.348,327.471,317.096,300.088,305.478,371.396,356.864,332.895,349.406,347.168,322.221,367.461,369.777,330.312,253.573
