country,drought,flood,storms,tropical cyclone
australia,0,10.54597282,9.919164032,10.79283865
austria,0,0,0,0
bangladesh,0,0,6.104793232,0
belgium,0,0,0,0
denmark,0,0,0,0
france,0,0,0,0
germany fed rep,0,14.0779379,0,0
guam,0,0,0,11.69532202
hong kong,0,0,0,7.835974582
india,0,0,0,13.67282424
indonesia,0,3.218875825,0,0
japan,0,0,0,13.9335389
madagascar,0,0,0,13.17285115
mauritania,14.16616743,0,0,0
mexico,0,12.61193767,0,12.84000047
netherlands (the),0,0,0,0
new caledonia,0,0,0,0
philippines (the),0,0,0,14.87447482
rwanda,14.34613881,0,0,0
sweden,0,0,0,0
switzerland,0,0,0,0
united kingdom of great britain and northern irela,0,0,0,0
