country,cold wave,drought,flood,storms,tropical cyclone
australia,0,0,9.236884927,10.56307795,0
bangladesh,0,0,11.01205017,6.255750042,4.727387819
bolivia (plurinational state of),0,0,0,0,0
brazil,0,0,4.700480366,0,0
burkina faso,0,12.99906516,0,0,0
canada,0,14.91412285,0,0,0
chad,0,0,4.727387819,0,0
chile,0,0,10.06963738,0,0
gambia (the),0,0,0,0,0
ghana,0,0,0,0,0
haiti,0,13.01700286,0,0,0
hong kong,0,0,0,0,4.859812404
india,0,0,0,0,16.52306337
indonesia,0,0,0,0,8.026496939
japan,0,0,0,0,9.478610241
lao people's democratic republic (the),0,15.06827353,0,0,0
madagascar,0,0,0,0,12.84795285
mexico,0,0,0,0,10.81997826
mozambique,0,0,0,3.988984047,0
oman,0,0,7.34601021,0,8.547334348
philippines (the),0,0,7.824046011,0,11.98447789
senegal,0,15.20554791,0,0,0
sri lanka,0,12.4292162,0,0,0
taiwan (province of china),0,0,0,0,12.47452985
tanzania united republic of,0,9.903487553,0,0,0
tonga,0,0,0,0,9.315150736
tunisia,0,10.35456317,0,0,0
united states of america (the),14.84512998,0,4.510859507,0,0
vanuatu,0,0,0,0,0
viet nam,0,0,0,0,6.907755279
yemen arab rep,0,0,0,0,0
yemen p dem rep,0,0,0,0,0
