country,cold wave,drought,flood,severe winter conditions,storms,tropical cyclone
algeria,0,0,0,0,0,0
angola,0,11.28978191,0,0,0,0
australia,0,15.62051525,0,0,8.973984927,0
austria,0,0,0,0,0,0
bangladesh,0,0,0,0,9.398478314,14.52158137
bulgaria,0,0,0,0,0,0
canada,0,0,0,0,11.27720313,0
central african republic,0,0,7.588323677,0,0,0
chad,0,14.22297367,0,0,0,0
china,0,0,0,0,0,0
comoros (the),0,0,0,0,0,0
cook islands (the),0,0,0,0,0,0
cuba,0,0,0,0,0,0
czechoslovakia,0,0,0,0,6.396929655,0
denmark,0,0,12.4292522,0,0,0
fiji,0,0,0,0,0,8.455317788
guinea,0,0,0,0,0,0
hong kong,0,0,0,0,0,0
india,5.703782475,0,6.152732695,0,9.222268943,11.71107936
iran (islamic republic of),0,0,5.298317367,0,0,0
jamaica,0,0,0,0,0,0
japan,0,0,4.753590191,0,0,11.3223338
korea (the republic of),0,0,0,0,0,11.90743747
madagascar,0,13.81551056,0,0,0,12.81612894
mexico,0,0,0,0,0,10.59913161
mozambique,0,15.39448926,0,0,0,0
new caledonia,0,0,0,0,0,7.69802917
oman,0,0,3.258096538,0,0,0
pakistan,0,0,0,0,6.486160789,0
philippines (the),0,0,7.716906135,0,0,13.99003681
soviet union,0,0,9.210340372,0,0,0
spain,0,14.19394699,0,0,0,0
sri lanka,0,0,0,0,0,0
taiwan (province of china),0,0,3.258096538,0,0,0
thailand,0,0,9.476926481,0,0,10.66895539
united kingdom of great britain and northern irela,0,0,2.48490665,0,0,0
united states of america (the),0,0,13.04117501,0,12.89926982,0
vanuatu,0,0,0,0,0,6.907755279
