country,cold wave,drought,flood,heat wave,storms,tropical cyclone
argentina,0,0,0,0,6.908754779,0
australia,0,0,11.74296518,0,8.661812881,11.1706464
bangladesh,0,0,9.212238569,0,9.480367509,14.80882344
bermuda,0,0,0,0,7.313220387,0
canada,0,0,7.783224016,0,0,0
chile,0,0,0,0,10.335984,0
china,10.30901933,0,13.40791067,0,0,15.49789759
colombia,0,0,10.3256131,0,0,0
cuba,0,0,0,0,0,0
dominican republic (the),0,0,7.606884531,0,0,0
fiji,0,0,0,0,0,10.04329297
hong kong,0,0,0,0,0,3.828641396
hungary,0,13.12236338,0,0,0,0
india,0,0,5.707110265,0,4.17438727,15.08893489
indonesia,0,6.988413182,0,0,0,0
ireland,0,0,0,0,0,2.397895273
japan,0,0,0,0,5.683579767,14.60491338
korea (the republic of),0,0,0,0,0,9.777300552
madagascar,0,0,0,0,0,12.36481847
nepal,0,0,8.188966864,0,0,0
netherlands (the),0,0,0,0,0,0
pakistan,0,0,0,0,5.564520407,0
philippines (the),0,0,0,0,0,14.10021721
saint lucia,0,0,0,0,0,0
solomon islands,0,0,0,0,0,12.04414766
south africa,0,13.65299163,0,0,0,0
switzerland,0,0,0,0,11.56171563,0
taiwan (province of china),0,0,0,0,0,13.09203818
united kingdom of great britain and northern irela,0,0,0,0,0,0
united states of america (the),0,0,10.31164902,14.37515377,10.59663473,0
viet nam,0,0,0,0,0,14.7329754
wallis and futuna,0,0,0,0,0,8.412054873
