country,cold wave,drought,flood,heat wave,severe winter conditions,storms,tropical cyclone
albania,0,0,0,5.010635294,0,0,0
argentina,0,0,0,0,2.197224577,0,0
australia,0,0,0,0,0,0,11.52111186
austria,0,0,0,1.609437912,0,12.89921983,0
bahamas (the),0,0,0,0,0,0,8.853808275
bangladesh,0,0,0,0,11.51422462,0,16.23881136
belarus,0,0,0,0,0,9.210340372,0
belgium,0,0,0,0,0,13.01701175,0
belize,0,0,0,0,0,0,10.45872233
bolivia (plurinational state of),0,0,0,0,0,0,0
bosnia and herzegovina,0,0,0,0,0,0,0
brazil,0,13.81551056,0,0,0,0,0
bulgaria,0,0,0,3.951243719,0,0,0
canada,0,0,1.386294361,0,0,0.693147181,0
chad,0,0,5.068904202,0,0,0,0
chile,0,0,0,0,1.791759469,0,0
china,0,0,13.84119098,0,0,9.424483541,16.1769673
cuba,0,0,0,0,0,0,13.44804763
cyprus,0,0,0,1.386294361,0,0,0
czech republic (the),0,0,0,0,0,11.91841724,0
denmark,0,0,0,0,0,11.51292546,0
djibouti,0,10.66312447,0,0,0,0,0
dominica,0,0,0,0,0,0,10.22310424
dominican republic (the),0,0,0,0,0,0,12.63067349
el salvador,0,0,0,0,0,0,7.937374696
fiji,0,0,0,0,0,0,6.582025139
france,0,0,6.803505258,0,0,6.214614098,0
germany,0,0,0,0,0,8.733097218,0
greece,0,0,0,2.772588722,0,0,0
guadeloupe,0,0,0,0,0,0,12.61153775
guatemala,0,0,0,0,0,0,8.270013062
haiti,0,0,0,0,0,0,11.65427745
honduras,0,0,0,0,0,0,10.16892402
hungary,0,0,0,6.214608098,0,0,0
india,4.927253685,0,0,4.276666119,0,0,0
iran (islamic republic of),0,0,0,0,0,0,12.12822461
italy,0,0,0,1.791759469,0,0,0
jamaica,0,0,0,0,0,0,12.71647718
japan,0,0,0,8.026823576,0,0,13.91173577
korea (the democratic people's republic of),0,0,0,0,0,0,7.407924323
korea (the republic of),0,0,0,0,0,0,11.16509699
lesotho,0,13.07107008,0,0,0,0,0
liberia,0,0,0,0,0,8.160518247,0
macedonia (the former yugoslav republic of),0,0,0,5.308267697,0,0,0
madagascar,0,0,0,0,0,0,13.04460722
malawi,0,13.16158409,0,0,0,0,0
martinique,0,0,0,0,0,0,12.61156109
mauritius,0,0,0,0,0,0,0.693147181
mexico,0,0,0,0,0,0,13.5961349
moldova (the republic of),0,13.33164165,0,0,0,0,0
mozambique,0,13.16158409,0,0,0,0,12.00015487
netherlands (the),0,0,0,0,0,13.21768628,0
new zealand,0,0,0,0,0,0,5.703782475
nicaragua,0,0,0,0,0,0,12.14904716
oman,0,0,0,0,0,0,15.1816216
pakistan,0,0,0,0,0,0,15.00037455
papua new guinea,0,0,0,0,0,0,11.99727569
peru,0,0,0,0,13.69293493,0,0
philippines (the),0,0,0,0,0,0,14.47438353
poland,0,0,2.564949357,0,0,11.51298546,0
puerto rico,0,0,0,0,0,0,0
r�union,0,0,0,0,0,0,4.521788577
romania,3.63758616,0,0,3.401197382,0,0,0
russian federation (the),0,0,0,0,0,0,0
saint lucia,0,0,0,0,0,0,10.59665973
serbia,0,0,0,0,0,0,0
slovakia,0,0,0,4.49980967,0,0,0
slovenia,0,0,12.588119,0,0,11.51292546,0
south africa,3.091042453,0,0,0,0,0,0
spain,0,0,0,0,0,0,0
swaziland,0,12.92391244,0,0,0,0,0
switzerland,0,0,0,0,0,5.756462732,0
taiwan (province of china),0,0,0,0,0,0,11.04925375
timor-leste,0,0,0,0,0,0,0
turkey,0,0,0,1.098612289,0,0,0
ukraine,0,0,8.929567708,0,0,11.51292546,0
united kingdom of great britain and northern irela,0,0,0,0,0,13.99784295,0
united states of america (the),0,12.61153775,15.34190094,0,0,14.02009739,1.945910149
uruguay,0,0,0,0,0,0,0
viet nam,0,0,0,0,0,0,13.68372165
zimbabwe,0,14.5574479,0,0,0,0,7.090076836
