country,cold wave,drought,severe winter conditions,storms,tropical cyclone
afghanistan,0,12.54254488,12.05525557,0,0
antigua and barbuda,0,0,0,0,10.15812977
australia,0,0,0,13.04332233,0
austria,0,0,0,13.12237138,0
bahamas (the),0,0,0,0,8.006367568
bangladesh,0,0,0,0,6.056784013
belgium,0,0,0,0,0
belize,0,0,0,0,9.211040127
bolivia (plurinational state of),0,10.22194128,0,8.803123731,0
brazil,0,0,0,7.379632153,0
bulgaria,2.302585093,0,0,0,0
burundi,0,11.32055357,0,0,0
cayman islands (the),0,0,0,0,0
china,0,15.18516728,18.4014994,13.53594215,14.88299744
congo (the democratic republic of the),0,0,0,2.890371758,0
costa rica,0,0,0,0,10.91516119
cuba,0,0,0,0,15.21951492
czech republic (the),0,0,0,10.81981828,0
djibouti,0,12.7367009,0,0,0
dominican republic (the),0,0,0,0,9.741850587
eritrea,0,14.34613881,0,0,0
ethiopia,0,15.67180855,0,0,0
fiji,0,0,0,0,10.30918597
france,0,0,0,11.32310788,0
gambia (the),0,0,0,5.703782475,0
germany,0,0,0,14.10940697,0
guatemala,0,0,0,0,2.833213344
haiti,0,0,0,0,12.41703835
honduras,0,0,0,0,0
hong kong,0,0,0,0,6.378426184
hungary,6.248042875,0,0,0,0
india,4.248495242,0,0,10.13305046,0
iran (islamic republic of),0,0,0,3.33220451,0
jamaica,0,0,0,0,11.15926027
kenya,0,15.15051268,0,0,0
lesotho,0,0,0,8.411832676,0
madagascar,0,13.48700649,0,0,13.29340657
mexico,0,0,0,0,13.2621288
mongolia,0,0,0,3.951243719,0
mozambique,0,13.12236338,0,0,12.38848586
myanmar,0,0,0,0,15.69625204
netherlands (the),0,0,0,0,0
nicaragua,0,0,0,0,10.12715097
norway,0,0,0,4.605170186,0
paraguay,0,9.798349234,0,10.77174284,0
philippines (the),0,0,0,0,15.80262064
poland,4.406719247,0,0,10.84079586,0
romania,0,0,0,4.49980967,0
somalia,0,15.00943303,0,0,0
south africa,0,0,0,8.18339737,0
sri lanka,0,0,0,0,10.81995827
syrian arab republic,0,14.07787482,0,0,0
taiwan (province of china),0,0,0,0,11.86739197
tajikistan,0,13.59236701,14.85931461,0,0
tanzania united republic of,0,0,0,6.517671273,0
thailand,0,16.11809565,0,0,6.907755279
turks and caicos islands (the),0,0,0,0,13.12536686
uganda,0,13.91082074,0,0,0
united kingdom of great britain and northern irela,0,0,0,0,0
united states of america (the),0,0,0,14.72946975,17.52518587
viet nam,0,0,0,0,12.75824077
