country,cold wave,drought,heat wave,storms,tropical cyclone
antigua and barbuda,0,0,0,0,9.775654181
argentina,3.737669618,0,0,0,0
australia,0,0,0,14.81614244,0
bangladesh,0,0,0,4.17438727,12.45730207
barbados,0,0,0,0,7.824046011
belgium,0,0,0,5.991467672,0
belize,0,0,0,0,0
bolivia (plurinational state of),1.386294361,11.99843328,0,0,0
bosnia and herzegovina,0.693147181,0,0,0,0
brazil,0,11.03488966,3.465735903,0,0
bulgaria,1.098612289,0,0,0,0
burundi,0,0,0,7.319202459,0
canada,0,0,0,0,0
chile,5.010635294,0,0,0,0
china,0,17.4363788,0,14.55916072,14.4599217
cook islands (the),0,0,0,0,7.697121317
croatia,0,0,0,0,0
czech republic (the),2.48490665,0,0,0,0
denmark,0,0,0,0,0
djibouti,0,12.20736181,0,0,0
dominican republic (the),0,0,0,0,9.392661929
egypt,0,0,0,4.262679877,0
el salvador,0,0,0,0,10.37464676
fiji,0,0,0,0,11.271236
france,1.098612289,0,0,7.684731834,0
french polynesia,0,0,0,0,9.575816472
gabon,0,0,0,8.16905315,0
germany,0,0,0,6.907757279,0
grenada,0,0,0,0,0
guatemala,0,0,0,0,13.86460163
guyana,0,9.595602773,0,0,0
haiti,0,0,0,11.19996661,8.525359754
honduras,0,0,0,0,11.65004915
hong kong,0,0,0,0,9.615872145
india,4.605170186,0,5.521460918,8.881697406,13.12269932
italy,0,0,0,13.67855388,0
jamaica,0,0,0,0,11.93505757
japan,0,0,9.627075072,0,0
korea (the democratic people's republic of),0,0,0,0,10.59713461
korea (the republic of),0,0,0,0,10.63373782
lithuania,1.609437912,0,0,0,0
luxembourg,0,0,0,10.34174248,0
madagascar,0,0,0,0,12.16656229
mali,0,13.30468493,0,0,0
mauritania,0,13.63877338,0,0,0
mexico,0,0,0,0,15.68038386
mozambique,0,13.03898177,0,0,0
myanmar,0,0,0,0,12.66695354
netherlands (the),0,0,0,10.23995979,0
nicaragua,0,0,0,0,1.609437912
oman,0,0,0,0,13.81552656
pakistan,0,0,0,0,11.33884585
paraguay,2.48490665,0,0,0,0
peru,10.96835345,0,0,0,0
philippines (the),0,0,0,0,14.87336231
poland,5.298317367,0,0,0,0
portugal,0,0,0,12.50618835,0
romania,3.951243719,0,0,0,0
russian federation (the),3.555348061,14.15198279,13.02966897,0,0
saint lucia,0,0,0,0,12.10908806
saint vincent and the grenadines,0,0,0,0,10.3449631
serbia,1.609437912,0,0,0,0
slovakia,4.804021045,0,0,0,0
solomon islands,0,0,0,0,6.380122537
somalia,0,15.20679246,0,0,0
south africa,0,0,0,8.706159291,0
spain,0,0,0,12.73670972,0
switzerland,0,0,0,9.546812609,0
taiwan (province of china),0,0,0,0,11.20141507
thailand,0,15.68463253,0,0,0
trinidad and tobago,0,0,0,0,0
united kingdom of great britain and northern irela,0,0,0,6.214608098,0
united states of america (the),0,0,0,16.01949557,11.51301546
uruguay,1.386294361,0,0,0,0
venezuela (bolivarian republic of),0,0,0,0,2.079441542
viet nam,0,0,0,0,11.27891053
zimbabwe,0,14.32690682,0,0,0
