country,cold wave,drought,heat wave,severe winter conditions,storms,tropical cyclone
argentina,0,0,0,0,9.985436135,0
australia,0,0,0,0,14.07864914,13.4416008
bahamas (the),0,0,0,0,0,11.47981326
bangladesh,0,0,0,0,11.071657,14.78630652
belgium,0,0,6.01615716,0,0,0
botswana,0,10.69194491,0,0,0,0
brazil,0,0,0,0,9.475700145,0
cabo verde,0,0,0,0,0,7.011213987
central african republic,0,0,0,0,7.018401799,0
chile,0,0,0,0,6.850126166,0
china,0,14.7172966,0,0,14.35984446,16.06150773
colombia,0,0,0,0,0,0
costa rica,0,0,0,0,0,0
cuba,0,11.51292546,0,0,0,0
dominica,0,0,0,0,0,13.14497382
dominican republic (the),0,0,0,0,0,7.665284718
egypt,0,0,5.170483995,0,11.51458409,0
el salvador,0,13.59236701,0,0,9.904087373,0
ethiopia,0,16.26651566,0,0,0,0
fiji,0,11.1124479,0,0,0,0
france,0,0,8.094073148,0,6.624065228,0
gambia (the),0,11.05247605,0,0,0,0
haiti,0,0,0,0,0,7.58781722
india,0,0,7.717796211,0,14.00141901,0
indonesia,0,2.397895273,0,0,0,0
ireland,0,0,0,0,0,0
israel,0,0,0,0,5.298317367,0
italy,0,0,0,0,13.67510186,0
japan,0,0,9.609519095,0,0,12.58191668
kiribati,0,0,0,0,0,7.313220387
korea (the democratic people's republic of),0,16.70588232,0,0,0,0
lebanon,0,0,0,0,13.81720612,0
madagascar,0,0,0,0,0,12.33943152
malawi,0,15.68731273,0,0,5.872117789,0
mexico,0,0,0,0,8.247482004,13.63879009
micronesia (federated states of),0,0,0,0,0,10.73650537
mongolia,0,0,0,13.77988338,0,0
myanmar,0,0,0,0,1.098612289,0
namibia,0,13.27078338,0,0,0,0
niger (the),0,14.76644539,0,0,0,0
northern mariana islands (the),0,0,0,0,0,5.886104031
oman,0,0,0,0,12.3327053,0
pakistan,0,0,11.30502761,0,0,0
palestine state of,0,0,0,0,10.3434829,0
panama,0,0,0,0,0,0
papua new guinea,0,14.76330926,0,0,0,9.126850061
paraguay,0,0,0,0,9.213036734,0
peru,12.59351295,0,0,0,0,0
philippines (the),0,12.49157484,0,0,0,15.51802343
poland,4.343805422,0,0,0,7.104965448,0
samoa,0,0,0,0,0,0
solomon islands,0,0,0,0,0,10.70335682
somalia,0,15.36307307,0,0,0,8.29404964
south africa,0,15.36307307,0,0,0,0
sudan (the),0,13.59236701,2.772588722,0,0,0
syrian arab republic,0,0,0,0,8.164225652,0
taiwan (province of china),0,0,0,0,0,10.19507449
tanzania united republic of,0,0,0,0,8.548498041,0
tonga,0,0,0,0,0,0
tuvalu,0,0,0,0,0,8.436633684
united kingdom of great britain and northern irela,0,0,0,0,14.01075081,0
united states of america (the),0,14.40329722,0,0,16.35110747,14.34662163
vanuatu,0,0,0,0,0,13.36516994
viet nam,0,14.67544256,0,0,0,4.804021045
yemen,0,0,0,0,0,12.3242867
zimbabwe,0,15.22649753,0,0,6.184148891,0
