year,iso,country_name,CountryCode,disaster subtype,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage,Log Total Deaths
1960,AIA,Anguilla,660,Tropical cyclone,1,5,250,0,1000,1250,35000,0.698970004
1960,ATG,Antigua and Barbuda,028,Tropical cyclone,1,2,0,0,0,0,0,0.301029996
1960,BGD,Bangladesh,050,Tropical cyclone,2,8149,0,200000,0,200000,0,3.911104318
1960,HKG,Hong Kong,344,Drought,1,0,0,0,0,0,0,0
1960,HKG,Hong Kong,344,Tropical cyclone,1,45,127,15000,0,15127,0,1.653212514
1960,JPN,Japan,392,Tropical cyclone,1,41,0,0,0,0,0,1.612783857
1960,MTQ,Martinique,474,Tropical cyclone,1,0,0,0,0,0,0,0
1960,MUS,Mauritius,480,Flood,1,42,0,0,0,0,0,1.62324929
1960,ANT,Netherlands Antilles,530,Tropical cyclone,1,0,0,0,0,0,0,0
1960,NIU,Niue,570,Tropical cyclone,1,0,0,4000,0,4000,41,0
1960,PHL,Philippines (the),608,Flood,1,33,0,0,0,0,0,1.51851394
1960,PHL,Philippines (the),608,Tropical cyclone,5,598,0,425000,0,425000,32000,2.776701184
1960,PRI,Puerto Rico,630,Tropical cyclone,1,0,0,0,0,0,0,0
1960,LCA,Saint Lucia,662,Tropical cyclone,1,0,0,0,0,0,0,0
1960,TWN,Taiwan (Province of China),158,Tropical cyclone,1,199,0,0,0,0,0,2.298853076
1960,USA,United States of America (the),840,Tropical cyclone,1,50,0,0,0,0,387000,1.698970004
1961,BGD,Bangladesh,050,Flood,1,266,0,0,0,0,0,2.424881637
1961,BGD,Bangladesh,050,Tropical cyclone,2,11000,0,0,0,0,11900,4.041392685
1961,BLZ,Belize,084,Tropical cyclone,1,275,0,0,0,0,60000,2.439332694
1961,CAN,Canada,124,Drought,1,0,0,0,0,0,0,0
1961,GRC,Greece,300,Tropical cyclone,1,43,0,0,0,0,0,1.633468456
1961,HND,Honduras,340,Tropical cyclone,1,275,0,0,0,0,0,2.439332694
1961,IND,India,356,Cold wave,1,400,0,0,0,0,0,2.602059991
1961,JPN,Japan,392,Flood,1,94,0,0,0,0,0,1.973127854
1961,JPN,Japan,392,Tropical cyclone,1,202,0,0,0,0,0,2.305351369
1961,MEX,Mexico,484,Tropical cyclone,1,436,0,0,0,0,0,2.639486489
1961,TON,Tonga,776,Tropical cyclone,1,2,0,8000,0,8000,500,0.301029996
1961,HKG,Hong Kong,344,Tropical cyclone,1,7,0,0,1171,1171,0,0.84509804
1961,TWN,Taiwan (Province of China),158,Tropical cyclone,1,106,0,0,0,0,0,2.025305865
1961,USA,United States of America (the),840,Flood,1,100,0,0,0,0,0,2
1961,USA,United States of America (the),840,Tropical cyclone,1,46,0,0,0,0,408000,1.662757832
1962,CAN,Canada,124,Flood,1,33,0,0,0,0,0,1.51851394
1962,GUM,Guam,316,Tropical cyclone,1,6,0,0,0,0,250000,0.77815125
1962,IND,India,356,Flood,1,0,0,40000,0,40000,0,0
1962,MEX,Mexico,484,Heat wave,1,50,0,0,0,0,0,1.698970004
1962,PER,Peru,604,Flood,1,60,0,0,0,0,0,1.77815125
1962,THA,Thailand,764,Tropical cyclone,1,769,0,0,0,0,19000,2.88592634
1962,DFR,Germany Fed Rep,276,Storms,1,347,0,0,0,0,600000,2.540329475
1962,HKG,Hong Kong,344,Tropical cyclone,1,183,0,0,0,0,0,2.26245109
1962,PHL,Philippines (the),608,Tropical cyclone,2,197,0,0,0,0,0,2.294466226
1962,TWN,Taiwan (Province of China),158,Tropical cyclone,1,107,0,0,0,0,0,2.029383778
1962,USA,United States of America (the),840,Flood,3,158,0,0,0,0,350000,2.198657087
1963,BHS,Bahamas (the),44,Tropical cyclone,1,0,0,0,0,0,1500,0
1963,BGD,Bangladesh,050,Tropical cyclone,2,22079,0,1000000,0,1000000,50000,4.343979399
1963,BEL,Belgium,056,Cold wave,1,12,0,0,0,0,0,1.079181246
1963,CUB,Cuba,192,Tropical cyclone,1,1750,0,0,0,0,500000,3.243038049
1963,DMA,Dominica,212,Tropical cyclone,1,0,0,0,0,0,2600,0
1963,GRD,Grenada,308,Tropical cyclone,1,6,0,0,0,0,0,0.77815125
1963,HTI,Haiti,332,Tropical cyclone,1,5000,0,0,0,0,180000,3.698970004
1963,IND,India,356,Flood,1,200,0,5000000,0,5000000,0,2.301029996
1963,IND,India,356,Tropical cyclone,1,112,0,0,0,0,0,2.049218023
1963,JAM,Jamaica,388,Tropical cyclone,1,11,0,0,0,0,11525,1.041392685
1963,JPN,Japan,392,Flood,2,133,0,0,0,0,0,2.123851641
1963,JPN,Japan,392,Tropical cyclone,1,0,0,0,0,0,0,0
1963,MTQ,Martinique,474,Tropical cyclone,1,10,0,0,0,0,40000,1
1963,MMR,Myanmar,104,Tropical cyclone,1,0,0,0,200,200,0,0
1963,PRY,Paraguay,600,Drought,1,0,0,13400,0,13400,0,0
1963,LCA,Saint Lucia,662,Tropical cyclone,1,10,0,0,0,0,3465,1
1963,TTO,Trinidad and Tobago,780,Tropical cyclone,1,24,0,0,0,0,30000,1.380211242
1963,DOM,Dominican Republic (the),214,Tropical cyclone,1,400,0,0,0,0,60000,2.602059991
1963,PHL,Philippines (the),608,Tropical cyclone,1,1,0,0,2000,2000,0,0
1963,USA,United States of America (the),840,Flood,1,26,0,0,0,0,0,1.414973348
1963,USA,United States of America (the),840,Cold wave,1,150,0,0,0,0,0,2.176091259
1963,USA,United States of America (the),840,Storms,1,203,0,0,0,0,0,2.307496038
1964,BGD,Bangladesh,050,Tropical cyclone,1,300,0,800,0,800,250,2.477121255
1964,CHN,China,156,Tropical cyclone,1,686,0,0,0,0,0,2.836324116
1964,CUB,Cuba,192,Tropical cyclone,1,0,0,0,0,0,0,0
1964,ECU,Ecuador,218,Drought,1,0,0,600000,0,600000,0,0
1964,GLP,Guadeloupe,312,Tropical cyclone,1,14,100,10000,0,10100,0,1.146128036
1964,HTI,Haiti,332,Tropical cyclone,1,100,0,80000,0,80000,10000,2
1964,IND,India,356,Drought,2,0,0,666000,0,666000,0,0
1964,IND,India,356,Tropical cyclone,1,500,0,0,0,0,0,2.698970004
1964,JPN,Japan,392,Tropical cyclone,1,42,0,0,0,0,0,1.62324929
1964,NPL,Nepal,524,Drought,1,0,0,0,0,0,0,0
1964,PAK,Pakistan,586,Tropical cyclone,1,450,0,400000,0,400000,4100,2.653212514
1964,PAN,Panama,591,Storms,1,1,18,500,0,518,300,0
1964,WSM,Samoa,882,Storms,1,250,0,0,0,0,0,2.397940009
1964,SOM,Somalia,706,Drought,1,50,0,700000,0,700000,0,1.698970004
1964,ZAF,South Africa,710,Drought,1,0,0,5000,0,5000,0,0
1964,LKA,Sri Lanka,144,Tropical cyclone,1,206,0,280000,100000,380000,37300,2.31386722
1964,TUR,Turkey,792,Storms,1,0,0,12000,0,12000,2200,0
1964,VNM,Viet Nam,704,Tropical cyclone,1,7000,0,700000,0,700000,50000,3.84509804
1964,DOM,Dominican Republic (the),214,Tropical cyclone,1,7,0,0,0,0,1000,0.84509804
1964,HKG,Hong Kong,344,Tropical cyclone,2,70,385,0,0,385,0,1.84509804
1964,IRN,Iran (Islamic Republic of),364,Drought,1,0,0,625000,0,625000,0,0
1964,KOR,Korea (the Republic of),410,Flood,1,210,300,43530,43000,86830,1000,2.322219295
1964,PHL,Philippines (the),608,Tropical cyclone,2,636,1421,1224125,0,1225546,43000,2.803457116
1964,USA,United States of America (the),840,Flood,1,140,0,0,0,0,0,2.146128036
1964,USA,United States of America (the),840,Tropical cyclone,2,43,0,0,0,0,250000,1.633468456
1965,BHS,Bahamas (the),44,Tropical cyclone,1,0,0,1200,0,1200,700,0
1965,BGD,Bangladesh,050,Tropical cyclone,3,48921,600000,10060000,5000000,15660000,57700,4.689495326
1965,BWA,Botswana,072,Drought,1,0,0,60000,0,60000,0,0
1965,CHL,Chile,152,Flood,1,58,0,0,0,0,0,1.763427994
1965,CHN,China,156,Drought,1,0,0,0,0,0,27118,0
1965,ETH,Ethiopia,231,Drought,1,2000,0,1500000,0,1500000,0,3.301029996
1965,FJI,Fiji,242,Tropical cyclone,1,2,0,10000,0,10000,0,0.301029996
1965,HND,Honduras,340,Drought,1,0,0,100000,0,100000,0,0
1965,IND,India,356,Drought,1,1500000,0,100000000,0,100000000,100000,6.176091259
1965,IND,India,356,Heat wave,1,100,0,0,0,0,0,2
1965,ITA,Italy,380,Storms,1,37,0,0,0,0,0,1.568201724
1965,JPN,Japan,392,Tropical cyclone,3,147,770,30000,0,30770,0,2.167317335
1965,KEN,Kenya,404,Drought,1,0,0,260000,0,260000,0,0
1965,MRT,Mauritania,478,Drought,1,0,0,46000,0,46000,0,0
1965,MMR,Myanmar,104,Tropical cyclone,1,100,0,500000,0,500000,1000,2
1965,PAK,Pakistan,586,Tropical cyclone,1,10000,0,0,0,0,0,4
1965,HKG,Hong Kong,344,Tropical cyclone,1,5,3,0,200,203,0,0.698970004
1965,PHL,Philippines (the),608,Tropical cyclone,1,37,0,0,0,0,0,1.568201724
1965,TWN,Taiwan (Province of China),158,Tropical cyclone,2,55,166,0,0,166,0,1.740362689
1965,USA,United States of America (the),840,Storms,1,271,1000,0,0,1000,190000,2.432969291
1965,USA,United States of America (the),840,Tropical cyclone,1,299,0,0,0,0,1420000,2.475671188
1965,WLF,Wallis and Futuna,876,Tropical cyclone,1,0,0,0,0,0,0,0
1966,BHS,Bahamas (the),44,Tropical cyclone,2,5,3,0,0,3,15500,0.698970004
1966,ASM,American Samoa,016,Tropical cyclone,1,90,0,0,0,0,0,1.954242509
1966,ATG,Antigua and Barbuda,028,Tropical cyclone,1,0,0,0,0,0,0,0
1966,BGD,Bangladesh,050,Tropical cyclone,1,850,0,1500000,300000,1800000,22400,2.929418926
1966,BEL,Belgium,056,Storms,1,0,0,0,0,0,0,0
1966,BRA,Brazil,076,Flood,1,36,0,0,0,0,0,1.556302501
1966,BFA,Burkina Faso,854,Drought,1,0,0,0,0,0,0,0
1966,CAN,Canada,124,Storms,1,0,0,0,0,0,0,0
1966,TCD,Chad,148,Drought,1,0,0,0,0,0,0,0
1966,CUB,Cuba,192,Tropical cyclone,1,5,30,156000,18000,174030,18000,0.698970004
1966,GLP,Guadeloupe,312,Tropical cyclone,1,25,0,10000,0,10000,70000,1.397940009
1966,HTI,Haiti,332,Tropical cyclone,1,480,881,67000,0,67881,20000,2.681241237
1966,IND,India,356,Tropical cyclone,1,18,0,150000,0,150000,4200,1.255272505
1966,IDN,Indonesia,360,Drought,1,8000,0,204000,0,204000,0,3.903089987
1966,JPN,Japan,392,Tropical cyclone,2,358,121,13764,0,13885,7900,2.553883027
1966,MLI,Mali,466,Drought,1,0,0,0,0,0,0,0
1966,MEX,Mexico,484,Tropical cyclone,1,14,69,80000,10000,90069,24000,1.146128036
1966,MAR,Morocco,504,Drought,1,0,0,0,0,0,0,0
1966,PER,Peru,604,Drought,1,0,0,156000,0,156000,0,0
1966,WSM,Samoa,882,Tropical cyclone,1,10,0,95000,0,95000,600,1
1966,SEN,Senegal,686,Drought,1,0,0,0,0,0,0,0
1966,SLB,Solomon Islands,090,Tropical cyclone,1,3,0,1000,0,1000,0,0.477121255
1966,TGO,Togo,768,Storms,1,0,15,0,0,15,200,0
1966,TKL,Tokelau,772,Tropical cyclone,1,0,0,0,0,0,0,0
1966,DOM,Dominican Republic (the),214,Tropical cyclone,1,74,442,7000,5500,12942,5000,1.86923172
1966,HKG,Hong Kong,344,Storms,1,15,0,0,0,0,0,1.176091259
1966,HKG,Hong Kong,344,Drought,1,0,0,0,0,0,0,0
1966,NER,Niger (the),562,Drought,1,0,0,0,0,0,0,0
1966,PHL,Philippines (the),608,Tropical cyclone,1,18,0,196000,90000,286000,1000,1.255272505
1966,TWN,Taiwan (Province of China),158,Tropical cyclone,1,36,21,5000,0,5021,17322,1.556302501
1966,USA,United States of America (the),840,Flood,3,264,0,0,0,0,0,2.421603927
1966,USA,United States of America (the),840,Storms,1,26,0,0,0,0,100000,1.414973348
1966,USA,United States of America (the),840,Heat wave,2,262,0,0,0,0,0,2.418301291
1966,WLF,Wallis and Futuna,876,Tropical cyclone,1,0,0,0,0,0,0,0
1967,AUS,Australia,036,Drought,1,600,0,0,0,0,600000,2.77815125
1967,BGD,Bangladesh,050,Tropical cyclone,2,91,200,0,0,200,0,1.959041392
1967,BEL,Belgium,056,Storms,1,0,100,0,0,100,0,0
1967,FRA,France,250,Storms,1,5,0,0,0,0,20000,0.698970004
1967,IND,India,356,Tropical cyclone,1,1000,0,0,0,0,0,3
1967,JPN,Japan,392,Tropical cyclone,2,290,429,2655,0,3084,0,2.462397998
1967,MTQ,Martinique,474,Tropical cyclone,1,15,0,1000,0,1000,0,1.176091259
1967,MUS,Mauritius,480,Tropical cyclone,1,0,24,20000,3500,23524,5000,0
