country,drought,flood,heat wave,storms,tropical cyclone
bahamas (the),0,0,0,0,7.549609165
bangladesh,0,0,0,0,16.57340567
botswana,11.00209984,0,0,0,0
chile,0,4.060443011,0,0,0
china,10.20795299,0,0,0,0
ethiopia,14.22230811,0,0,0,0
fiji,0,0,0,0,9.210540352
honduras,11.51292546,0,0,0,0
hong kong,0,0,0,0,5.33753808
india,18.43655409,0,4.605170186,0,0
italy,0,0,0,3.610917913,0
japan,0,0,0,0,10.33906147
kenya,12.46843691,0,0,0,0
mauritania,10.73639668,0,0,0,0
myanmar,0,0,0,0,13.12456096
pakistan,0,0,0,0,9.210340372
philippines (the),0,0,0,0,3.610917913
taiwan (province of china),0,0,0,0,5.398162702
united states of america (the),0,0,0,12.16144655,14.16637797
wallis and futuna,0,0,0,0,0
