country,drought,flood,storms,tropical cyclone
australia,0,0,0,11.19117631
bangladesh,0,6.056784013,0,15.21036815
botswana,11.4031106,0,0,0
brazil,16.11810565,0,0,0
canada,0,2.302585093,0,0
china,0,0,0,9.554426407
cuba,0,0,0,2.995732274
dominica,0,0,0,0
guadeloupe,0,0,0,0
india,0,7.60090246,0,0
italy,0,0,0,8.141772205
korea (the republic of),0,8.941021984,0,0
madagascar,0,0,0,9.974411891
martinique,0,0,0,10.49252344
philippines (the),0,0,0,14.54535026
united states of america (the),0,0,11.89836472,13.01702731
