country,cold wave,drought,flood,storms,tropical cyclone
afghanistan,0,0,0,0,0
australia,0,0,0,0,11.68874258
bangladesh,0,0,0,0,5.093750201
cameroon,0,12.90296281,0,0,0
canada,0,0,0,0,0
chile,0,0,11.43496392,0,0
gambia (the),0,11.91972302,0,0,0
ghana,0,9.400960732,0,0,0
honduras,0,0,0,0,0
hong kong,0,0,0,0,7.378383713
india,0,0,0,0,15.7527717
japan,0,0,0,0,4.905274778
kenya,0,11.9283409,0,0,0
korea (the republic of),0,0,5.068904202,0,0
mexico,0,0,0,0,2.833213344
morocco,0,11.82846587,0,0,0
nicaragua,0,0,0,0,8.530109417
philippines (the),0,0,0,0,10.77993498
spain,11.51691749,0,10.91508846,0,0
togo,0,11.92171836,0,0,0
united states of america (the),0,0,5.062595033,0,0
viet nam,0,0,0,0,10.82201578
