country,cold wave,drought,flood,heat wave,storms,tropical cyclone
argentina,0,0,9.305741457,0,0,0
bangladesh,0,0,0,0,0,2.48490665
barbados,0,0,0,0,0,11.51522282
bermuda,0,0,0,0,0,10.82057796
brazil,0,13.52782849,0,0,0,0
cambodia,0,0,0,0,0,0
canada,0,0,0,0,12.48852607,0
china,0,0,10.83881591,0,12.92457807,13.86025445
comoros (the),0,0,0,0,0,10.98569942
cook islands (the),0,0,0,0,0,10.20377731
czechoslovakia,0,0,9.61580548,0,0,0
dominican republic (the),0,0,0,0,0,10.0733569
egypt,0,0,3.713572067,0,0,0
ethiopia,0,15.76147313,0,0,0,0
fiji,0,0,10.25308753,0,0,0
france,0,0,14.34614116,0,0,0
greece,0,0,12.76582557,6.907755279,0,0
guam,0,0,0,0,0,6.472346295
guatemala,0,11.19821472,0,0,0,0
guinea-bissau,0,0,0,0,0,8.217168596
hong kong,2.833213344,0,0,0,0,0
india,0,19.51929403,4.634728988,4.605170186,0,11.2905691
indonesia,0,0,0,0,0,0
italy,0,0,14.00093812,0,0,0
japan,0,0,0,0,0,11.08241943
korea (the republic of),0,0,0,0,0,13.27357087
lao people's democratic republic (the),0,0,0,0,0,0
malawi,0,14.17267228,0,0,0,0
micronesia (federated states of),0,0,0,0,0,8.733594062
mozambique,0,8.99342737,0,0,0,0
nepal,0,0,0,2.302585093,0,0
philippines (the),0,13.81760836,0,0,0,15.04877786
r�union,0,0,0,0,0,8.701180028
saint lucia,0,0,0,0,0,0
saint vincent and the grenadines,0,0,0,0,0,8.61395686
somalia,0,13.12356266,0,0,0,0
spain,0,0,0,0,8.987196821,0
sri lanka,0,14.60396792,0,0,0,0
sudan (the),0,15.05388479,0,0,0,0
switzerland,0,0,11.84151673,0,0,0
taiwan (province of china),0,0,0,0,0,7.723562472
tokelau,0,0,7.709756864,0,0,0
turkey,3.401197382,0,0,0,0,0
tuvalu,0,0,0,0,0,0
uganda,0,13.30468493,0,0,0,0
united kingdom of great britain and northern irela,0,0,14.26340916,0,0,0
united states of america (the),0,0,11.12726298,4.382026635,11.84475121,0
vanuatu,0,0,0,0,0,11.19887204
viet nam,0,0,3.091042453,0,0,13.75055808
